num_detectors,radius,TN,FP,FN,TP,ham_accuracy,spam_accuracy
100,0.25,100,0,96,4,1.0,0.04
200,0.25,89,11,86,14,0.89,0.14
300,0.25,98,2,87,13,0.98,0.13
400,0.25,42,58,36,64,0.42,0.64
500,0.25,67,33,77,23,0.67,0.23
600,0.25,88,12,98,2,0.88,0.02
700,0.25,55,45,73,27,0.55,0.27
800,0.25,99,1,100,0,0.99,0.0
900,0.25,100,0,100,0,1.0,0.0
1000,0.25,100,0,100,0,1.0,0.0
1100,0.25,100,0,99,1,1.0,0.01
1200,0.25,100,0,96,4,1.0,0.04
1300,0.25,98,2,80,20,0.98,0.2
1400,0.25,100,0,98,2,1.0,0.02
1500,0.25,100,0,97,3,1.0,0.03
1600,0.25,100,0,92,8,1.0,0.08
1700,0.25,100,0,92,8,1.0,0.08
1800,0.25,100,0,96,4,1.0,0.04
1900,0.25,100,0,97,3,1.0,0.03
2000,0.25,61,39,63,37,0.61,0.37
2100,0.25,62,38,45,55,0.62,0.55
2200,0.25,65,35,44,56,0.65,0.56
2300,0.25,64,36,25,75,0.64,0.75
2400,0.25,33,67,2,98,0.33,0.98
2500,0.25,25,75,0,100,0.25,1.0
2600,0.25,22,78,0,100,0.22,1.0
2700,0.25,42,58,8,92,0.42,0.92
2800,0.25,50,50,11,89,0.5,0.89
2900,0.25,51,49,25,75,0.51,0.75
3000,0.25,35,65,9,91,0.35,0.91
3100,0.25,51,49,12,88,0.51,0.88
3200,0.25,19,81,3,97,0.19,0.97
3300,0.25,7,93,3,97,0.07,0.97
3400,0.25,0,100,0,100,0.0,1.0
3500,0.25,0,100,0,100,0.0,1.0
3600,0.25,0,100,0,100,0.0,1.0
3700,0.25,0,100,0,100,0.0,1.0
3800,0.25,0,100,0,100,0.0,1.0
3900,0.25,5,95,2,98,0.05,0.98
4000,0.25,24,76,2,98,0.24,0.98
4100,0.25,34,66,16,84,0.34,0.84
4200,0.25,70,30,47,53,0.7,0.53
4300,0.25,94,6,90,10,0.94,0.1
4400,0.25,95,5,98,2,0.95,0.02
4500,0.25,88,12,90,10,0.88,0.1
4600,0.25,93,7,90,10,0.93,0.1
4700,0.25,88,12,82,18,0.88,0.18
4800,0.25,100,0,100,0,1.0,0.0
4900,0.25,100,0,99,1,1.0,0.01
5000,0.25,97,3,98,2,0.97,0.02
5100,0.25,100,0,99,1,1.0,0.01
5200,0.25,100,0,99,1,1.0,0.01
5300,0.25,95,5,96,4,0.95,0.04
5400,0.25,80,20,79,21,0.8,0.21
5500,0.25,60,40,71,29,0.6,0.29
5600,0.25,63,37,50,50,0.63,0.5
5700,0.25,61,39,33,67,0.61,0.67
5800,0.25,36,64,29,71,0.36,0.71
5900,0.25,78,22,61,39,0.78,0.39
6000,0.25,85,15,87,13,0.85,0.13
6100,0.25,63,37,77,23,0.63,0.23
6200,0.25,63,37,56,44,0.63,0.44
6300,0.25,56,44,30,70,0.56,0.7
6400,0.25,63,37,46,54,0.63,0.54
6500,0.25,60,40,49,51,0.6,0.51
6600,0.25,17,83,18,82,0.17,0.82
6700,0.25,37,63,33,67,0.37,0.67
6800,0.25,47,53,59,41,0.47,0.41
6900,0.25,27,73,37,63,0.27,0.63
7000,0.25,48,52,60,40,0.48,0.4
7100,0.25,76,24,89,11,0.76,0.11
7200,0.25,89,11,99,1,0.89,0.01
7300,0.25,85,15,97,3,0.85,0.03
7400,0.25,81,19,87,13,0.81,0.13
7500,0.25,83,17,88,12,0.83,0.12
7600,0.25,78,22,86,14,0.78,0.14
7700,0.25,82,18,85,15,0.82,0.15
7800,0.25,55,45,77,23,0.55,0.23
7900,0.25,72,28,79,21,0.72,0.21
8000,0.25,57,43,69,31,0.57,0.31
8100,0.25,24,76,39,61,0.24,0.61
8200,0.25,38,62,62,38,0.38,0.38
8300,0.25,19,81,18,82,0.19,0.82
8400,0.25,20,80,15,85,0.2,0.85
8500,0.25,27,73,39,61,0.27,0.61
8600,0.25,25,75,30,70,0.25,0.7
8700,0.25,35,65,40,60,0.35,0.6
8800,0.25,31,69,26,74,0.31,0.74
8900,0.25,25,75,33,67,0.25,0.67
9000,0.25,31,69,33,67,0.31,0.67
9100,0.25,22,78,28,72,0.22,0.72
9200,0.25,22,78,34,66,0.22,0.66
9300,0.25,22,78,34,66,0.22,0.66
9400,0.25,27,73,46,54,0.27,0.54
9500,0.25,22,78,20,80,0.22,0.8
9600,0.25,22,78,13,87,0.22,0.87
9700,0.25,14,86,12,88,0.14,0.88
9800,0.25,22,78,16,84,0.22,0.84
9900,0.25,22,78,9,91,0.22,0.91
10000,0.25,19,81,10,90,0.19,0.9
