num_detectors,radius,TN,FP,FN,TP,ham_accuracy,spam_accuracy
100,0.2,100,0,96,4,1.0,0.04
300,0.2,98,2,87,13,0.98,0.13
500,0.2,67,33,77,23,0.67,0.23
700,0.2,55,45,73,27,0.55,0.27
900,0.2,100,0,100,0,1.0,0.0
1100,0.2,100,0,99,1,1.0,0.01
1300,0.2,98,2,80,20,0.98,0.2
1500,0.2,100,0,97,3,1.0,0.03
1700,0.2,100,0,92,8,1.0,0.08
1900,0.2,100,0,97,3,1.0,0.03
2100,0.2,62,38,45,55,0.62,0.55
2300,0.2,64,36,25,75,0.64,0.75
2500,0.2,25,75,0,100,0.25,1.0
2700,0.2,42,58,8,92,0.42,0.92
2900,0.2,51,49,25,75,0.51,0.75
3100,0.2,51,49,12,88,0.51,0.88
3300,0.2,7,93,3,97,0.07,0.97
3500,0.2,0,100,0,100,0.0,1.0
3700,0.2,0,100,0,100,0.0,1.0
3900,0.2,5,95,2,98,0.05,0.98
4100,0.2,34,66,16,84,0.34,0.84
4300,0.2,94,6,90,10,0.94,0.1
4500,0.2,88,12,90,10,0.88,0.1
4700,0.2,88,12,82,18,0.88,0.18
4900,0.2,100,0,99,1,1.0,0.01
5100,0.2,100,0,99,1,1.0,0.01
5300,0.2,95,5,96,4,0.95,0.04
5500,0.2,60,40,71,29,0.6,0.29
5700,0.2,61,39,33,67,0.61,0.67
5900,0.2,78,22,61,39,0.78,0.39
6100,0.2,63,37,77,23,0.63,0.23
6300,0.2,56,44,30,70,0.56,0.7
6500,0.2,60,40,49,51,0.6,0.51
6700,0.2,37,63,33,67,0.37,0.67
6900,0.2,27,73,37,63,0.27,0.63
7100,0.2,76,24,89,11,0.76,0.11
7300,0.2,85,15,97,3,0.85,0.03
7500,0.2,83,17,88,12,0.83,0.12
7700,0.2,82,18,85,15,0.82,0.15
7900,0.2,72,28,79,21,0.72,0.21
8100,0.2,24,76,39,61,0.24,0.61
8300,0.2,19,81,18,82,0.19,0.82
8500,0.2,27,73,39,61,0.27,0.61
8700,0.2,35,65,40,60,0.35,0.6
8900,0.2,25,75,33,67,0.25,0.67
9100,0.2,22,78,28,72,0.22,0.72
9300,0.2,22,78,34,66,0.22,0.66
9500,0.2,22,78,20,80,0.22,0.8
9700,0.2,14,86,12,88,0.14,0.88
9900,0.2,22,78,9,91,0.22,0.91
